Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Pkts,Total_Bytes,Pkt_Len_Std,Pkt_Len_Max,Payload_Bytes_Total,IAT_Std,IAT_Max
172.29.34.6,233.233.2.1,46786,3000,UDP,179.9440259933472,13946,3906564,209.7696613360618,1358,3320832,0.0228878441076512,0.0709633827209472
141.48.4.22,172.29.34.200,17876,50819,UDP,179.8840568065643,18635,3427259,44.78722727205317,385,2644589,0.0063670884143817,0.04854416847229
172.29.34.110,224.0.0.251,5353,5353,DNS,178.7491836547852,160,12640,0.0,79,0,1.30933475505414,4.185551166534424
151.101.129.91,172.29.34.205,443,49242,TCP,111.3274338245392,7,754,6.776309271789384,112,292,26.26429266401894,58.25882124900818
141.48.4.22,172.29.34.215,19396,47649,UDP,179.7420234680176,18604,2284727,52.50805134034615,334,1503359,0.0065166713603882,0.1501545906066894
172.29.34.6,233.233.3.1,53873,3000,UDP,179.9433236122131,13939,3983538,223.5144348617826,1358,3398100,0.0229224643851879,0.0700974464416503
172.29.34.130,224.0.0.251,5353,5353,DNS,179.2533504962921,108,17820,0.0,165,0,1.77879319289144,6.670772790908813
172.29.34.130,172.29.34.255,51307,137,UDP,178.4367315769196,270,24840,0.0,92,0,0.495137518355414,1.794193983078003
172.29.34.217,3.160.39.57,46138,443,TCP,4.262018442153931,13,16572,413.18838204051,1967,15714,0.5884558641382142,2.029057264328003
151.101.129.91,172.29.34.205,443,49242,TCP,111.3094475269318,11,702,4.62833529503922,66,0,22.28073524662706,58.24794459342957
172.29.34.253,224.0.0.251,5353,5353,UDP,179.6014611721039,308,200666,539.2012158091252,1343,0,0.6612398472669938,3.873999118804932
172.29.34.4,224.0.0.251,5353,5353,UDP,178.8093283176422,161,36996,35.27609116560503,676,0,1.308406801009914,4.199275970458984
141.48.4.22,172.29.34.215,28557,60710,UDP,118.4421446323395,8172,8881493,387.8674822982405,1260,8538269,0.0486765771069008,0.4195196628570556
172.29.34.216,18.66.2.16,39650,443,TCP,12.28990125656128,7,5883,375.4075336571319,1434,5421,2.470888524256173,7.168407917022705
172.29.34.216,18.66.2.16,39646,443,TCP,12.28988909721374,7,5883,375.4075336571319,1434,5421,2.469446631476036,7.167993545532227
172.29.34.216,18.66.2.16,39646,443,TCP,6.335188627243042,5,330,0.0,66,0,1.218424108339686,3.392602443695068
172.29.34.216,18.66.2.16,39650,443,TCP,6.330230474472046,5,330,0.0,66,0,1.218807832795853,3.392634868621826
172.29.34.216,54.38.164.88,50730,443,TCP,3.050046443939209,3,4302,0.0,1434,4140,0.5028660297393799,2.027889251708984
172.29.34.110,239.255.255.250,39901,1900,UDP,178.9630043506622,162,33858,0.0,209,27054,0.7948835996030724,2.918555498123169
172.29.34.216,3.162.79.56,35022,443,TCP,1.198469400405884,3,198,0.0,66,0,0.5992213487625122,1.198456048965454
172.29.34.217,18.64.78.76,35782,443,TCP,0.0,1,1434,0.0,1434,1368,0.0,0.0
